,Program,Round ,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners; Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project (if applicable),Approval date,Local Government /Council,RAP Region,State Electorate,Actual Contractual Commitment ($)
0,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701,, BHP Billiton,Decolonising the systematic barriers and enablers of Indigenous career progression in MiningCo (BHP). An Aboriginal perspective - Terry Bell,Brisbane City,4001,,2019-06-14,Rockhampton (R),Brisbane and Redlands,Keppel,107084
1,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2015-16 Round 1,Griffith University,Nathan,4111,,,An indigenous journey through the 21st century educational landscapes of new metrics - Troy Meston,Nathan,4111,,2016-01-28,Brisbane (C),Brisbane and Redlands,Toohey,117500
2,Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2017-18 Round 3,Queensland University of Technology,Brisbane City,4000,, Engineered Wood Products Association Australasia Ltd,An Innovative Framing System for Taller Timber-Framed Buildings – Craig Cowled,Brisbane City,4000,,2018-08-21,Brisbane (C),Brisbane and Redlands,McConnel,240000
3,Aboriginal and Torres Strait Islander Research Fellowships,AQ Aboriginal & Torres Strait Islander Research Fellowships 2015-16 Round 1,CSIRO,Smithfield,4878,, CSIRO,Transforming hidden data: An integrative information system for Torres Strait - Cass Hunter,Smithfield,4878,,2016-01-28,Cairns (R),Far North Queensland,Barron River,158032
32,Biofutures Commercialisation Program,AQ Biofutures Commercialisation Program 2016-17 Round 1,Dugalunji Aboriginal Corporation,Camooweal,4828,, The University of Queensland,QLD Spinifex Nano-Cellulose Industry,Indooroopilly,4068,Camooweal,2017-06-02,Mount Isa (C),Brisbane and Redlands,Traeger,995129
56,Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605,,,Cherbourg digital connectivity pilot – access to Starlink satellite internet service for 12 months,Cherbourg,4605,"Peregian Digital Hub, Noosa Council - will also host some of the activities",2022-02-02,Cherbourg (S),Wide Bay,Nanango,35391
57,Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605,, National Indigenous Australians Agency,Cherbourg Material Recovery Facility,Cherbourg,4605,,2022-11-25,Cherbourg (S),Wide Bay,Nanango,10000
58,Deadly Data,Round 1,Cherbourg Aboriginal Shire Council,Cherbourg,4605,, Indigenous Land and Sea Corporation,Cherbourg AI Project - From Waste to Data to Opportunity,Cherbourg,4605,,2020-09-09,Cherbourg (S),Wide Bay,Nanango,150000
59,Deadly Innovation,Round 1,BCF Concreting Solutions Pty Ltd,Rockhampton City,4700,,,Top Con GPS millimietre guidance system for Wirtgen former.,Rockhampton City,4700,312 Alexandra Street Kawana 4701,2020-07-13,Rockhampton (R),Central Queensland,Rockhampton,100000
60,Deadly Innovation,Round 1,Sobah Beverages Pty Ltd,Burleigh Heads,4220,,,Dry Shelf Stabilisation of Products,Burleigh Heads,4220,,2019-08-21,Gold Coast (C),Gold Coast,Burleigh,100000
61,Deadly Innovation,Round 1,Islex Australia Pty Ltd,Kingston,4114,,,Smart Syphon Commercialisation,Kingston,4114,Cotton Farm locations across regional Queensland and NSW.,2020-09-30,Logan (C),Logan,Waterford,100000
62,Deadly Innovation,Round 1,Minjerribah Art Studio & Cottage Pty Ltd,Dunwich,4183,,,Support to scale - Expo 2020 Dubai,Dunwich,4183,Dubai - attendance at Expo,2021-05-31,Redland (C),Brisbane and Redlands,Oodgeroo,25000
63,Deadly Innovation,Round 1,Hopevale Congress Aboriginal Corporation RNTBC,Cooktown,4895,,,Business Case - Hopevale Black Lip Oysters,Cooktown,4895,,2020-09-23,Cook (S),Far North Queensland,Cook,35638
64,Deadly Innovation,Round 1,Davis Trading Pty Ltd,Kawana,4701,,,Effective Feral Pig Control Traps,Kawana,4701,,2021-08-13,Rockhampton (R),Central Queensland,Rockhampton,100000
65,Deadly Innovation,Round 1,Nourishing Bites Pty Ltd,West End,4810,,,Commercialise Heavenly Hazel ChocHazelnut Spread,West End,4810,,2020-07-13,Townsville (C),Townsville,Townsville,100000
66,Deadly Innovation,Round 1,Pwron Pty Ltd,New Farm,4005,,,PWRON Temperature Alert Log System,New Farm,4005,"Mount Low, QLD",2020-12-22,Brisbane (C),Brisbane and Redlands,McConnel,100000
67,Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700,,,Wujal Wujal vanilla bean commercialisation business case,Wandal,4700,Wujal Wujal Queensland,2022-10-19,Rockhampton (R),Central Queensland,Rockhampton,45800
68,Deadly Innovation,Round 1,LOGiT Australia Pty Ltd,New Farm,4005,," CSIRO - EcoSciences Precinct - Master 
 MEGT Australia Ltd",Weavr - Reconciliation Action Plan monitoring and reporting system,New Farm,4005,,2021-08-12,Brisbane (C),Brisbane and Redlands,McConnel,50000
69,Deadly Innovation,Round 1,RRJ Engineering Pty Ltd T/A B&C Plastics,Meadowbrook,4131,, Container Exchange (QLD) Limited,Business Case and Pilot project - Dive fins from recycled plastic sourced from the Torres Strait,Meadowbrook,4131,"Cairns, Torres Strait, Thursday Island",2021-10-21,Logan (C),Logan,Waterford,35000
70,Deadly Innovation,Round 1,Iscariot Media Pty Ltd,Everton Park,4053,,,Western Yalanji AR project – Stage 2 of Western Yalanji rock art project,Everton Park,4053,,2022-05-25,Brisbane (C),Brisbane and Redlands,Everton,25000
71,Deadly Innovation,Round 1,Solar Relief Pty Ltd,Kirwan,4817,,,Commercialisation of Portable Power Supply.,Kirwan,4817,Brisbane,2020-09-08,Townsville (C),Townsville,Thuringowa,75000
72,Deadly Innovation,Round 1,Ethix Group Pty Ltd,Wandal,4700,,,Hopevale tropical blacklip rock oyster farm - Stage 1,Hope Vale,4895,,2022-05-10,Rockhampton (R),Far North Queensland,Rockhampton,15750
73,Deadly Innovation,Round 1,Department of Agriculture and Fisheries,Wilsonton Heights,4350,,,Indigenous Native Food Project - Phase 2,Wilsonton Heights,4350,Across Queensland,2022-05-25,Toowoomba (R),Darling Downs,Toowoomba North,200000
74,Deadly Innovation,Round 1,Woorabinda Aboriginal Shire Council,Woorabinda,4713,,,Business Case: Commercial Wattle Seed Production,Woorabinda,4713,,2020-09-23,Woorabinda (S),Central Queensland,Gregory,40500
302,Ignite Ideas Fund,AQ Ignite Ideas Fund 2020-21 Round 7,Native Beeings Pty Ltd,Cleveland,4163,,,Commercialising Australian Native Bee Propolis Products,Laidley,4341,,2020-12-02,Redland (C),Ipswich,Oodgeroo,100000
